hashtag,CreationTimeofDay,MinRank,Duration2hsl
流浪地球有望复映加长版,2021-10-13 13:09:00,20,5.005999062777778
哈啰单车崩了,2021-10-13 06:34:00,16,6587.673802485833
三浦春马葬礼已秘密举行,2021-10-13 12:15:00,5,6.3269088433333325
气得满地打滚的熊猫,2021-10-13 15:16:00,20,3.646212943055555
乌鲁木齐食品污水等样品检测阴性,2021-10-13 17:51:00,23,1.1468482527777777
中央气象台解除暴雨预警,2021-10-13 14:45:00,17,4.415100411388889
重启的工作室,2021-10-13 23:17:00,12,68.38621830166667
乌鲁木齐可能污染的外环境均已消毒,2021-10-13 18:21:00,7,1.8244746108333334
德国最大连锁百货进入破产程序,2021-10-13 18:30:00,24,3.277069275277778
给电影院的一句情话,2021-10-13 22:52:00,24,-0.24265355444444442
北京国际电影节八月下旬举行,2021-10-13 18:53:00,27,12.320198644166666
巴黎塞纳河畔开设漂浮影院,2021-10-13 14:38:00,11,16.570198674722224
汛期勿自行捕捞野生小龙虾食用,2021-10-13 21:01:00,23,10.18686537277778
26岁小伙单腿打篮球,2021-10-13 19:46:00,12,11.436865403888888
10米长抹香鲸遭渔网困住,2021-10-13 20:45:00,8,10.4535321325
印度边境安全部队101人确诊新冠,2021-10-13 20:42:00,2,10.588030145555555
金球奖历史首次中断评选,2021-10-13 20:12:00,8,11.342840882222223
特朗普称将恢复白宫每日疫情简报会,2021-10-13 22:56:00,1,8.609507626666668
世卫组织称美洲仍是疫情震中,2021-10-13 06:36:00,25,0.9428410036111111
乌鲁木齐开展全民免费核酸检测,2021-10-13 00:51:00,19,6.947799545
被遗弃德牧已被部队收养为军犬,2021-10-13 12:48:00,2,19.25452228611111
世卫称实现疫苗公平分配需政治承诺,2021-10-13 07:25:00,8,0.7219135388888889
获救女孩到医院看望挡刀快递员,2021-10-13 19:20:00,8,12.892637565277779
牛津大学研发新冠疫苗,2021-10-13 21:54:00,10,10.756570104166666
乐视摘牌,2021-10-13 15:08:00,10,17.60722027638889
蚂蚁集团概念股,2021-10-13 21:22:00,15,11.463660712777779
巴西一天内两名部长宣称感染新冠,2021-10-13 06:36:00,26,2.494393158333333
公安局回应郑云龙落户北京,2021-10-13 17:44:00,1,15.701477555555556
日作诗2000首女孩卖课,2021-10-13 18:43:00,9,135.15002458277777
重点改造2000年底前建成的老旧小区,2021-10-13 11:19:00,32,22.550024647222223
全国首趟中欧班列玩具专列开行,2021-10-13 08:56:00,29,1.0172676391666666
新版清华大学研究生录取通知书,2021-10-13 16:00:00,2,18.12250511527778
被陈屿气死,2021-10-13 23:20:00,3,34.789171825555556
蚂蚁集团IPO估值至少2000亿美元,2021-10-13 17:20:00,25,16.875540780277777
李干杰当选山东省人民政府省长,2021-10-13 09:36:00,17,0.6088741569444445
C罗成首位西甲意甲英超进球超50球员,2021-10-13 07:06:00,21,3.2768902144444443
新疆现有3119人接受医学观察,2021-10-13 10:03:00,11,0.7468413466666666
巴西总统讲话时又把口罩拉下来了,2021-10-13 15:42:00,8,19.09684138777778
特朗普回应民调输拜登,2021-10-13 15:00:00,27,91.79684146333334
信条撤档,2021-10-13 00:43:00,26,10.332481205833334
左拆家,2021-10-13 01:56:00,18,9.1158145725
原来星空这么美,2021-10-13 05:05:00,23,1038.2180879222224
无价之邪,2021-10-13 11:10:00,18,48.38669139138889
乌鲁木齐公交地铁及市际客运班线停运,2021-10-13 10:40:00,22,1.0549527991666667
GimGoon首发,2021-10-13 00:14:00,23,11.908436237222222
山东紧急调配60万毫升血液支援湖北,2021-10-13 12:58:00,12,167.25924028527777
下半年最想看到的电影,2021-10-13 16:05:00,21,44.14257366138889
网球双打大满贯冠军当超市理货员,2021-10-13 13:01:00,32,23.29319113388889
全球变暖或致北极熊在本世纪末灭绝,2021-10-13 10:49:00,14,1.9139426391666665
孟佳对王漫妮有共鸣,2021-10-13 21:06:00,3,255.71447830777777
湖北恩施沙子坝出现大面积滑坡,2021-10-13 10:20:00,25,2.6489689708333333
上海今日出梅,2021-10-13 10:16:00,27,2.7995864402777775
外籍教师聘任和管理办法征求意见,2021-10-13 12:11:00,12,1.1350216691666666
